1	 'number'
less	 'fewer, a smaller amount (less workers, less land)'

little	 'a small amount of something, the opposite of 'much' (John ate a little food.)'

long	 'the length of something is long'

long	 'a long period of time'

long	 'as in "20 meters long"'

lost	 'to be lost'

loud	 'the sound is loud'

low	 'low height (opposite of 'high') (John went to a low place.)'

lucky	 'to have something good happen, fortunate'

male	 'male attribute'

merciful	 'having mercy'

more	 'additional (more workers)'

more	 'comparative more (John has more books than Peter.)'

most	 'most of the set is involved (Most people eat bread every day.)'

much-many	 'a lot of something'

naked	 'to not be wearing any clothes'

narrow	 'narrow, not wide'

new	 'object's status is new - new car, new king'

new	 'object is new in age'

next	 'the next in a series (next day)'

noble	 'of good character'

northern	 'indicates the northern region'

northwest	 'indicates the northwest region'

old	 'oldness attribute'

old	 'as in (10 years old)'

one	 'indefinite marker, (one day, one month)'

one	 'one member of a group (e.g., one of the angels said, ...)'

one	 'one X as opposed to another X (e.g., One angel was here, the other angel was there.)'

only	 'identity (The only person that can solve this problem ...)'

only	 'exclusivity (Only the people who know John can come to this party.)'

only	 'the thing is not highly esteemed "He is only a carpenter."'

other	 'someone or thing other than what is in the context'

paralyzed	 'complex - to be paralyzed, unable to move one's legs'

patient	 'to be patient, not get angry quickly'

peaceful	 'quiet and calm, without worry'

perfect	 'perfect, without fault'

pleased	 'to be pleased with something (God was pleased with the nurses)'

poisonous	 'to be poisonous, like a poisonous snake'

poor	 'having a little money'

possible	 'How is it possible that John read this book?'

powerful	 'having physical power'

powerful	 'having political or similar power'

pregnant	 'to be pregnant'

prosperous	 'financially successful, having sufficient wealth'

proud	 'to be proud'

pure	 'to be pure, without impurities'

purple	 'the color'

quiet	 'low volume'

raw	 'uncooked'

ready	 'to be ready for something to happen'

red	 'the color'

responsible	 'to be responsible for the actions of someone'

rich	 'complex - to have a lot of money'

right	 'to be correct'

right	 'the right-hand side'

righteous	 'righteousness attribute'

ripe	 'fruit is ripe, ready to be harvested and eaten'

Roman	 'of Roman origins or working for the Romans'

royal	 'having to do with royalty'

sad	 'not happy'

safe	 'to be safe'

same	 'the same thing as previously mentioned'

satisfied	 'to be satisfied'

scarlet	 'complex - bright red'

second	 '2nd in a series'

selfish	 'selfishness atrribute'

seventh	 '7th in a series'

several	 'a small indeterminate number, more than 'few''

shiny	 'refers to metal that is smooth, polished, bright, and reflective'

short	 'short in height or length'

short	 'short time period'

sick	 'to be ill'

silver	 'the color silver'

similar	 'similar to somethng else'

sixth	 '6th in a series'

sleepy	 'wanting to sleep, tired'

small	 'small in size'

smooth	 'smoothness attribute'

solid	 'solidness attribute'

some	 'quantity'

sore	 'to be sore, hurting'

sorry	 'to be sorry that the person did something (A P(cl))'

southern	 'indicates the southern region'

special	 'special, different in a good way'

steep	 'something like a hill or wall has a steep angle (That hill is steep.)'

straight	 'not crooked'

strange	 'wierd, out of the ordinary'

strict	 'expecting people to do the things that you tell them to do'

strong	 'having much strength'

stupid	 'showing a lack of good sense or good judgement'

surprised	 'to be surprised about something'

surprised	 'to be surprised that something happened'

tall	 'height of someone or something is high '

terrible	 'to be terrible, horrible'

thin	 'thinness attribute'

third	 '3rd in a series'

thirsty	 'to be thirsty'

thorny	 'something having thorns'

thousands	 'an expression indicating thousands of something, not a precise number'

tired	 'to be tired, sleepy'

traditional	 'a law or practice is done as it has been done in the past'

troubled	 'to be troubled, disturbed'

true	 'true, not false, fake or unreal'

ugly	 'unattractive, not pretty'

unclean	 'ceremonially unclean'

upset	 'to be annoyed, worried, unhappy (John was upset.)'

valuable	 'to be worth much'

violent	 'to be violent'

warm	 'something is warm, not hot'

weak	 'not strong'

well	 'healthy, good'

western	 'indicates the western region'

white	 'the color white'

whole	 'the entire thing'

wicked	 'wicked, evil'

wide	 'wide, not narrow'

wide	 'as in "20 meters wide"'

wild	 'from the wild, not tamed or cultivated'

willing	 'to be willing to do something'

wise	 'wise attribute'

wonderful	 'someone or something that causes people to be awed, in a good sense'

worthless	 'to be worthless'

wrong	 'to be incorrect'

yellow	 'the color yellow'

young	 'young in age'

