2PM	 'the time'
Canaan	 'the man (Genesis 9:18)'

Canaanite	 'a member of the Canaanite people'

candle	 'a candle'

Capernaum	 'the town'

Caphtorim	 'man in Gen 10'

captain	 'the leader of a group'

Carcas	 'in Esther'

Carmel	 'the place'

Carmi	 'Reuben's son'

carpenter	 'complex - a person who builds things from wood'

Carshena	 'in Esther'

Casluhim	 'man in Gen 10'

cattle	 'multiple cows'

cave	 'a cave'

cemetery	 'complex - place where people bury other people that died'

chaff	 'the outside covering of grain'

chain	 'a chain, used to hold something'

chair	 'something to sit on'

characteristic	 'a trait, quality, or feature of someone'

chariot	 'a chariot'

cheek	 'part of a person's face'

chest	 'the chest of a person'

chicken	 'type of bird that people eat'

chief	 'the leader of a village'

child	 'son or daughter'

Christ	 'Christ, Messiah'

Christian	 'a person who has trusted in Christ to pay for his sins'

church	 'the body of believers'

church	 'the building where Christians worship'

Chuza	 'the man (Luke 8:3)'

city	 'a large town'

clay	 'a type of dirt used to make bowls, bricks, etc.'

Clement	 'the person (Phil 4:3)'

Cleopas	 'a man's name in Luke 24:18'

clinic	 'a small medical facility, like a hospital but smaller'

cloth	 'a piece of cloth'

clothes	 'that which people wear'

cloud	 'a cloud'

coat	 'coat that is worn'

coffin	 'a box used to carry a dead person'

coin	 'a small object used as money'

cold	 'the disease (e.g., I caught a cold.)'

Colosse	 'the city mentioned in the book of Colossians'

comb	 'the thing on top of a rooster's head (used in Avian Influenza)'

command	 'a command of someone'

commandment	 'a commandment'

concubine	 'complex - a woman that a king sleeps with regularly, but she is not the king's wife'

condom	 'used during intercourse to prevent the spread of AIDS'

container	 'a container for holding liquid, a jar or bottle'

copper	 'the substance copper (e.g., two copper coins)'

corpse	 'complex - a dead body'

Cosam	 'the person (Luke 3)'

couch	 'a long seat for sitting or reclining'

country	 'a country'

courage	 'the abstract quality of being brave'

court	 'a court with judges'

courtyard	 'open space between buildings where people can sit or meet'

cousin	 'child of your parent's sibling'

covenant	 'a promise between God and his people; this concept is complex but not explicated.  It is always matched with 'promise.''

cover	 'the cover of something'

cow	 'an animal'

creature	 'any living thing (animal, fish, insect, person, angel, etc.), but not a plant'

crop	 'plants that are grown and harvested for food'

cross	 'a cross'

crowd	 'a crowd of people'

crown	 'a royal crown'

cup	 'a container for drinking'

curtain	 'cloths used for decoration on walls or over windows'

Cush	 'a country mentioned in Daniel 11:43'

Cush	 'man in Gen 10'

custom	 'a cultural practice'

Cyrene	 'place where Simon, who carried Jesus' cross was from (Matt 27:32)'

Cyrus	 'king of Persia'

Dalphon	 'Esther 9:7-9'

Damascus	 'the place'

Dan	 'Jacob's son'

Dan	 'the place in Gen 14'

Daniel	 'a man'

Darius	 'a king of Babylon during Daniel's time'

darkness	 'the opposite of light'

date	 'a date on the calendar, like June 2nd.'

daughter	 'the female child of a parent'

daughter-in-law	 'a daughter-in-law'

David	 'King David'

day	 'a 24 hour period (he traveled for a day)'

death	 'death'

Deborah	 'a woman in Gen. 35:8'

Dedan	 'man in Gen 10'

deer	 'the animal'

Demas	 'a man's name, mentioned in Colossians 4'

demon	 'a demon'

descendant	 'people related directly by birth'

desert	 'arid land area'

device	 'a machine or tool that does a certain job'

devil	 'the devil, Satan'

dew	 'dew on the ground in the morning'

Diklah	 'man in Gen 11'

Dinah	 'woman in Gen 30'

Dinhabah	 'city in Gen. 36:32'

dinner	 'the evening meal'

dirt	 'dirt'

disciple	 'a follower of a teacher'

disease	 'generic word for disease'

Dishan	 'man in Gen. 36:21'

Dishon	 'man in Gen. 36:21'

distance	 'the amount of space between two places or things (The distance between the door and window was 3 feet.)'

doctor	 'a person who helps people that are sick'

dog	 'the animal'

donkey	 'the animal'

door	 'a door'

Dothan	 'place in Gen. 37:17'

dove	 'a bird'

dream	 'a dream'

dress	 'a type of woman's clothing'

drink	 'a drink'

drop	 'a small amount of liquid (a drop of water)'

drug	 'a chemical substance (narcotic) used to alter one's feelings'

duck	 'type of bird that people eat'

Dumah	 'a man's name'

Dura	 'name of the plain where Nebuchadnezzar set up his gold statue'

dust	 'dust on the ground'

eagle	 'an eagle, a bird'

ear	 'an ear'

earring	 'jewelry worn in the ear'

earth	 'the earth, the world'

east	 'the compass direction'

Ebal	 'man in Gen. 36:23'

Eber	 'the person (Luke 3)'

Eden	 'garden in Genesis'

edge	 'the edge of something'

Edom	 'the place'

Edomite	 'people in Gen. 36:9'

egg	 'contains a baby bird'

Egypt	 'the country'

Egyptian	 'a person from Egypt'

Ehi	 'man in Gen. 46:21'

El-Paran	 'city in Gen 14'

Elah	 'man in Gen. 36:41'

Elam	 'name of a province Daniel 8:2'

Elam	 'man in Gen 10'

Eldaah	 'a man's name'

eli-eli-lema-sabachthani	 'the Aramaic words Jesus spoke on the cross'

Eliakim	 'son of Abiud, descendant of David'

Eliezer	 'the son of Moses'

Elijah	 'the prophet'

Elimelech	 'father-in-law of Ruth'

Eliphaz	 'boy in Gen. 36:4'

Elisha	 'the prophet'

Elishah	 'man in gen 10'

Elizabeth	 'mother of John the Baptist'

Elkosh	 'place where Nahum lived (Nahum 1:1)'

Ellasar	 'place in Gen 14'

Elmadam	 'the person (Luke 3)'

Elon	 'the man in Genesis 26'

Emite	 'person of the Emites'

Emmaus	 'a village in Luke 24:13'

emperor	 'the ruler of an empire'

En-Mishpat	 'place in Gen 14'

Enaim	 'city in Gen. 38:14'

enchanter	 'a person who casts magic spells'

end	 'time at the end (end of the world)'

enemy	 'foe'

Enoch	 'the person (Luke 3, Genesis)'

Enoch	 'name of city in Gen. 4:17'

Enosh	 'grandson of Adam'

entrance	 'an opening that you go through to enter into a place (e.g., the tomb's entrance)'

Epaphras	 'a man's name, mentioned in Colossians'

Epaphroditus	 'coworker of Paul (Phil 2:25)'

Ephah	 'the man in Gen 25'

Epher	 'the man in Gen 25'

Ephesus	 'the city in Ephesians'

Ephraim	 'one of Joseph's sons (Gen. 48)'

Ephrathah	 'place in Bethlehem associated with the clan of Ephrathah'

Ephratite	 'a person in the Ephratite clan'

Ephron	 'the man in Gen 23'

Er	 'the person (Luke 3)'

Erech	 'the city'

Eri	 'man in Gen. 46:16'

Esau	 'a man's name'

Esek	 'name of a well in Gen 26'

Eshban	 'man in Gen. 36:26'

Eshcol	 'the person in Gen 14'

Esli	 'the person (Luke 3:25)'

Esther	 'cousin of Mordecai, in the book of Esther'

eunuch	 'a man whose testicles have been removed, often he takes care of the king's wives'

Euodia	 'person (Phil 4:2)'

Euphrates	 'name of river in Gen. 2:14'

Eve	 'wife of Adam'

evening	 'time of day before night'

event	 'as in "that event"'

expression	 'a look on someone's face expressing a thought or feeling'

eye	 'an eye'

Ezbon	 'man in Gen. 46:16'

Ezer	 'man in Gen. 36:21'

face	 'the front part of a person's head'

faith	 'the faith of a person'

Falala	 'name of young girl, Kande's sister'

family	 'the immediate family, parents and children'

family	 'the extended blood-related family'

famine	 'a famine, not enough food available for people to eat'

farm	 'a place where animals or crops are raised/grown'

farmer	 'complex - a person who grows crops'

father	 'male parent'

Father	 'a title reserved soley for God the Father'

father-in-law	 'father of your spouse'

feast	 'a feast or festival'

feather	 'the things that cover birds'

fence	 'a wall like structure around an area, it keeps animals in or out of the area'

fever	 'a fever'

field	 'place where crops are grown'

field	 'place where animals graze'

fig	 'a fig'

finger	 'a finger'

fire	 'fire'

fish	 'a fish'

flood	 'a flood'

floor	 'the floor'

flour	 'used to make bread'

flower	 'a flower'

flute	 'the musical instrument'

fly	 'the insect'

food	 'that which is eaten by people'

food	 'that which is eaten by animals'

foot	 'the body part'

forehead	 'the forehead'

foreigner	 'complex - a person that came from a foreign country'

foreskin	 'part of the male organ'

fox	 'a fox'

friend	 'a friend'

frog	 'a frog'

front	 'the front portion of something (the front of the boat)'

fruit	 'fruit of a plant'

furnace	 'a furnace for heating or cooking'

future	 'time in the future'

Gabriel	 'the angel'

Gad	 'Jacob's son'

Gaham	 'man in Gen 22'

Galilee	 'the place'

garbage	 'garbage'

garden	 'a beautiful place where flowers are grown'

Gatam	 'man in Gen. 36:11'

gate	 'a gate'

Gaza	 'the city'

gem	 'a valuable and beautiful stone'

generation	 'a generation of a family'

Gennesaret	 'the place'

Gentile	 'a non-Jewish person'

Gera	 'man in Gen. 46:21'

Gerar	 'the city'

Gerasa	 'place where Jesus healed the demon-possessed man (Mark 5)'

germ	 'a living germ, such as a bacteria or virus'

Gershon	 'Levi's son'

Gershon	 'the place'

Gether	 'man in Gen 11'

Gethsemane	 'the place where Jesus was betrayed'

giant	 'very tall human'

gift	 'a present'

gift	 'gift of the Holy Spirit'

Gihon	 'name of river in Gen. 2:13'

Gilead	 'the place'

Girgashite	 'a Girgashite person'

girl	 'young woman'

glory	 'the glory of God'

glove	 'what we wear on our hands to protect them from dirt, germs, etc.'

goat	 'a goat'

God	 'God'

God-Almighty	 'shaddai, a name for God'

god	 'a false god; not God'

God-Eternal	 'a name for God (see Gen 21)'

God-Most-High	 'a name for God (Gen 14)'

Goiim	 'place in Gen 14'

gold	 'the substance gold'

Golgatha	 'place where Jesus was crucified'

Goliath	 'the Philistine warrior'

Gomer	 'man in Gen 10'

Gomorrah	 'the place'

good	 'generic word for thing or artifact that might be sold or used by people'

Good-News	 'the gospel message'

Goshen	 'the place in Egypt where the Israelites lived'

government	 'the rulers of a place'

governor	 'a governor'

grain	 'grain'

gram	 'unit of weight'

grandchild	 'the children of someone's children'

granddaughter	 'the kinship term'

grandfather	 'the father of someone's parent'

grandson	 'the son of someone's children'

grape	 'a grape'

grass	 'grass that animals eat (not grass in a lawn)'

grave	 'place where a body is buried'

Greece	 'the country'

ground	 'the ground'

group	 'a group or set of something'

guard	 'a guard'

guest	 'a guest at a house or a party'

Guni	 'man in Gen. 46:24'

Hadad	 'a man's name'

Hadassah	 'other name of Esther'

Hadoram	 'man in Gen 11'

Hagar	 'Sarai's slave in Gen 16'

Haggi	 'man in Gen. 46:16'

hair	 'all the hair that is on a person's head  (John's hair is white.)'

hair	 'an individual strand of hair  (Mary pulled a hair from John's head.)'

Ham	 'son of Noah'

Ham	 'the place in Gen 14'

Haman	 'the official in Esther'

Hamathite	 'a Hamathite person'

Hammedatha	 'father of Mordecai in Esther'

Hamor	 'the man in Gen 33'

Hamul	 'man in Gen. 46:12'

Hananiah	 'a friend of Daniel'

hand	 'hand'

Hanoch	 'Reuben's son'

Haran	 'man in Gen. 11'

Haran	 'the place in Gen. 11:31'

Harbona	 'in Esther'

harbor	 'a place where ships stay because the water is calm'

harp	 'musical instrument'

hat	 'a piece of clothing that is worn on one's head'

Hathach	 'eunuch who served Esther'

Havilah	 'name of river in Gen. 2:11'

Havilah	 'man in Gen 10/11'

Hazarmaveth	 'man in Gen 11'

Hazazon-Tamar	 'place in Gen 14'

Hazo	 'man in Gen 22'

head	 'the head'

heart	 'the seat of emotions'

heart	 'the bodily organ, heart'

heaven	 'heaven'

Heber	 'man in Gen. 46:17'

Hebrew	 'a name for the descendants of Israel'

Hebron	 'Levi's grandson'

Hebron	 'the place'

heel	 'the curved back part of a foot'

Hegai	 'King Xerxe's eunuch in Esther'

Heli	 'father of Joseph (Luke 3:23)'

hell	 'hell, the place'

helmet	 'something worn on the head for protection'

helmet	 'a hard hat that protects one's head'

Hemdan	 'man in Gen. 36:26'

Herod	 'This name is used by three Herods; the first being Herod 'the Great', the king at Jesus's birth (Matt 2:3, Acts 23:35). Also two of his descendents are called Herod in the New Testament: Herod Antipas, the ruler of Galilee and Peraea from 4 B.C. to 39 A.D. who interacted with Jesus (Matt 14:1, Mark 6:14, 8:14, Luke 3, Luke 9:7, 13:31, 23:5-12, Acts 4:27), and Herod Agrippa I, who came to rule after his brothers and eventually acquired all the territory ruled by his father (Acts 12:1-23).'

Herodias	 'Herod's wife'

Heth	 'man in Gen 10'

Hezron	 'Reuben's son'

Hezron	 'the place'

Hierapolis	 'a city name, mentioned in Colossians 4'

hill	 'a hill'

hip	 'part of the body'

Hirah	 'man in Gen. 38:1'

Hittite	 'a Hittite person'

HIV	 'the virus that causes AIDS'

Hivite	 'a Hivite person'

Hobah	 'the place in Gen 14'

hole	 'a hole in the ground, a pit (John stepped in a hole.)'

hole	 'a hole in something like a shirt or a wall (John's shirt has a hole in it.)'

holiday	 'a day where you do not work, celebrating some occasion'

Holy-Spirit	 'the Holy Spirit'

Homam	 'man in Gen. 36:22'

honey	 'honey'

honor	 'the abstract thing, honor'

hope	 'the abstract, hope'

Hori	 'man in Gen. 36:22'

Horite	 'a person of the Horites'

horn	 'the bony growth on the heads of some animals used for fighting'

horse	 'a horse'

hour	 'an hour'

house	 'place where someone lives'

Hul	 'man in Gen 11'

human	 'human being'

Huppim	 'man in Gen. 46:21'

husband	 'a husband'

Husham	 'man in Gen. 36:34'

Hushim	 'man in Gen. 46:23'

hypocrite	 'a hypocrite'

idea	 'a new or original thought that someone thinks of suddenly'

idol	 'an image of a god'

Imnah	 'man in Gen. 46:17'

incense	 'substance burned to create a nice smell'

India	 'the country, India'

Iniko	 'name of young girl, Kande's sister'

injury	 'an injury, received accidentally'

inn	 'a kind of motel'

insect	 'a small generic creature like a fly or an ant'

inside	 'the inside of something like a cup'

instrument	 'a musical instrument'

intestine	 'the body part'

Irad	 'Enoch's son in Gen. 4:18'

Iram	 'man in Gen. 36:43'

iron	 'the substance'

Isaac	 'Isaac, Abraham's son'

Isaiah	 'the prophet'

Isak	 'man's name in Avian Influenza, he's the chief of the village'

Iscah	 'woman in Gen. 11'

Ishbak	 'man in Gen 25'

Ishmael	 'son of Abraham and Hagar'

Ishvah	 'man in Gen. 46:17'

Ishvi	 'man in Gen. 46:17'

Israel	 'the nation (not the land) (e.g., Israel's soldiers fought the Philistine soldiers.)'

Israel	 'the person, also named Jacob'

Israelite	 'a person from Israel'

Issachar	 'Jacob's son'

Ithran	 'man in Gen. 36:26'

Iturea	 'the place (Luke 3:1)'

Jabal	 'man in Gen. 4:20'

Jabbok	 'the river in Gen 32'

Jacob	 'the person Jacob'

Jahleel	 'man in Gen. 46:14'

Jahziel	 'man in Gen. 46:24'

Jair	 'father of Mordecai in Esther'

Jairus	 'father of child that Jesus healed (Mark 5)'

Jakin	 'Simeon's son'

Jalam	 'man in Gen. 36:5'

James	 'a man's name'

Jamin	 'Simeon's son'

Janet	 'a name of a person'

Jannai	 'the person (Luke 3:24)'

Japheth	 'Noah's son'

jar	 'a jar'

Jared	 'the person (Luke 3)'

Jashub	 'man in Gen. 46:13'

Javan	 'man in Gen 10'

Jebusite	 'a Jebusite person'

Jehoiachin	 'king of Judah'

Jehoiakim	 'king of Judah'

Jemuel	 'Simeon's son'

Jerah	 'man in Gen 11'

Jeremiah	 'the prophet'

Jericho	 'the place'

Jerusalem	 'the place'

Jesse	 'father of David'

Jesus	 'Jesus, God's Son, the Christ'

Jetheth	 'man in Gen. 36:40'

Jetur	 'a man's name'

Jeush	 'man in Gen. 36:5'

Jew	 'a Jewish person'

jewelry	 'jewelry'

Jezer	 'man in Gen. 46:24'

Jidlaph	 'man in Gen 22'

Joanan	 'the person (Luke 3)'

Joanna	 'the woman (Luke 8:3)'

job	 'the regular paid work that one does for an employer (John has a job.)'

Jobab	 'man in Gen 11'

Joda	 'the person (Luke 3)'

John	 'a man's name'

joke	 'a short story that is intended to be funny'

Jokshan	 'man in Gen 25'

Joktan	 'man in Gen 11'

Jonah	 'Jonah'

Jonam	 'the person (Luke 3)'

Jordan	 'the Jordan river'

Jorim	 'the person (Luke 3)'

Josech	 'the person (Luke 3)'

Joseph	 'a man's name'

Joshua	 'Israelite leader after Moses'

Jubal	 'man in Gen. 4:21'

Judah	 'Jacob's son'

Judah	 'the land/country of Judah'

Judas	 'the disciple'

Judas-Iscariot	 'another name for Judas, the disciple'

Judea	 'the country'

judge	 'a person who judges guilt or innocence'

judge	 'an OT judge, or leader'

Judith	 'the woman in Gen 26'

Jumoke	 'name of young boy, Kande's brother'

June	 'the month'

Justus	 'man's name in Acts 1:23'

Kadesh	 'place in gen 14'

Kadmonite	 'a person of the Kadmonite'

Kande	 'name of a young girl'

Kedar	 'a man's name'

Kedemah	 'a man's name'

Kedorlaomer	 'man in Gen 14'

Kemuel	 'man in Gen 22'

Kenan	 'the person (Gen. 5:9)'

Kenaz	 'man in Gen. 36:11'

Kenite	 'a person of the Kenites'

Kenizzite	 'a person of the Kenizzites'

Keran	 'man in Gen. 36:26'

Kesed	 'man in Gen 22'

Keturah	 'woman in Gen 25'

key	 'something that unlocks a door'

Kezib	 'town in Gen. 38:5'

Kilion	 'son of Naomi'

kilogram	 'the unit of weight'

kilometer	 'the unit of distance'

kind-of	 'a type of something (What kind of animal is that?)'

king	 'ruler of a people'

kingdom	 'a kingdom'

Kiriath-Arba	 'place in Gen 23'

Kish	 'great grandfather of Mordecai in Esther'

Kittim	 'man in Gen 10'

knee	 'the knee of a person'

knife	 'sharp instrument for cutting'

knowledge	 'information, skills, and understanding'

Kohath	 'Levi's son'

Korah	 'Moses' cousin'

Korazin	 'city (Matt 11:21)'

Laban	 'the man in Gen 24'

ladder	 'instrument used to climb to a higher position'

lake	 'a lake'

lake-Galilee	 'the lake'

lamb	 'a baby sheep'

Lamech	 'father of Noah'

lamp	 'something that provides light'

land	 'generic term for an area (land of Canaan)'

land	 'the ground'

language	 'the spoken or written means of communication of a people'

Laodicea	 'a city name, mentioned in Colossians 2:1'

Lasha	 'the city'

law	 'a law'

lawyer	 'people who are experts in the law'

Lazarus	 'the man in Luke 16:20'

leader	 'spiritual or political leader of a people'

leaf	 'a leaf of a tree'

Leah	 'Jacob's wife'

Lebanon	 'the place'

leg	 'the leg'

Legion	 'the name of the evil spirit, meaning "many"'

Lehabim	 'man in Gen 10'

leopard	 'the animal'

leprosy	 'the skin disease'

lesson	 'something that provides information or experience that one can learn from and use (John's parents taught him a lesson.)'

letter	 'a written message that is sent to someone'

letter	 'a character in an alphabet'

Letush	 'the place'

Leum	 'the place'

Levi	 'Jacob's son'

Libya	 'the country'

life	 'abstract term referring to the state of having life'

life	 'a particular person's life (My life was worthwhile)'

ligament	 'the strong tissue in our bodies that joins bones together'

light	 'the opposite of darkness'

light	 'a lamp that gives light'

light	 'a light source, like the sun or moon.  Not a lamp.'

lightning	 'flash of light during storm'

lion	 'a lion'

liter	 'a unit of measure, about a quart'

livestock	 'farm animals'

load	 'a load of something that has to be carried, a burden'

loaf	 'a loaf of bread'

locust	 'the insect'

Lord	 'the LORD, God'

Lord	 'alternate name for Jesus'

lot	 'bones or sticks used like dice to decide things'

Lot	 'man in Genesis'

Lotan	 'man in Gen. 36:20'

